uri	english	language	translation
http://data.europa.eu/esco/skill/aadf267e-08f0-4bf3-ae4a-f1670b8e9e5d	offshore renewable energy technologies	bg	технологии за енергия от възобновяеми източници в морето
http://data.europa.eu/esco/skill/670f8eea-f25b-4c3f-97ef-a4729d4c63d6	smart contract	bg	интелигентен договор
http://data.europa.eu/esco/skill/4eba4667-402e-4aea-a15d-c9fb82da60dd	combined heat and power generation	bg	комбинирано производство на топлинна и електрическа енергия
http://data.europa.eu/esco/skill/d846661e-04b8-4b30-8b6b-f3525799fd3a	community-led local development	bg	водено от общностите местно развитие
http://data.europa.eu/esco/skill/8744f28f-59a9-45af-8ef6-6944cb5a1473	risk identification	bg	определяне на рисковете
http://data.europa.eu/esco/skill/981616a1-2718-419c-b99f-53460cd873a8	European Structural and Investment Funds regulations	bg	регламенти на европейските структурни и инвестиционни фондове
http://data.europa.eu/esco/skill/ec4de8aa-9ba4-412b-832d-93361210eae3	marine technology	bg	морска технология
http://data.europa.eu/esco/skill/79a5bc25-5b59-47bc-a4c2-fb8e8cb1ddf6	smart grids systems	bg	системи от интелигентни енергийни мрежи
http://data.europa.eu/esco/skill/ef3b0fe7-236f-4910-994a-5cf8f126cb9d	types of evaluation 	bg	видове оценки
http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0	coaching techniques	bg	техники за коучинг
http://data.europa.eu/esco/skill/dd5451c6-a006-4218-bf94-348d81bed42f	conservation agriculture	bg	консервационно земеделие
http://data.europa.eu/esco/skill/dbe63ddf-76f8-4177-a482-fee995a57b77	integrated pest management	bg	интегрирано управление на вредителите
http://data.europa.eu/esco/skill/24ccd586-3c38-4f60-ac70-8f984ca13449	tanning process	bg	процес на дъбене
http://data.europa.eu/esco/skill/2bc626f8-32ce-4131-9f65-c52929d55a95	electric heating systems	bg	електрически отоплителни системи
http://data.europa.eu/esco/skill/15c522eb-cd6d-4b00-9d95-db20c0f8df88	energy saving potential of automated shift systems	bg	потенциал за енергоспестяване на автоматизирани системи за смяна на предавките
http://data.europa.eu/esco/skill/303c6ab0-21c3-4b09-ac77-d405936857d9	sustainable installation materials	bg	устойчиви монтажни материали
http://data.europa.eu/esco/skill/b856655a-ee98-481f-a5a3-b0abc45f6ad5	molecular gastronomy 	bg	молекулярна гастрономия
http://data.europa.eu/esco/skill/750f86d2-18be-4015-84b1-d4a26d9b2d88	online ads campaign techniques	bg	техники за онлайн рекламни кампании
http://data.europa.eu/esco/skill/1fc03dc8-0ee0-4876-83ec-86e0bfcb3876	crowdfunding	bg	колективно финансиране (краудфъндинг)
http://data.europa.eu/esco/skill/d81b58ba-52e4-45fa-9f7c-f59b87fa6041	domotic systems	bg	системи за домашна автоматизация
http://data.europa.eu/esco/skill/79fc83a3-9c76-4e21-b766-2e9c0f8d31eb	patient safety theories	bg	теории за безопасност на пациентите
http://data.europa.eu/esco/skill/906e5de0-f86d-4a10-a89b-30cee6a09adf	hoshin kanri strategic planning	bg	стратегическо планиране по модела хошин канри
http://data.europa.eu/esco/skill/96a893b6-4520-4daa-89c1-b79487505da2	key risk indicators	cs	klíčové ukazatele rizik
http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034	social alliances	cs	sociální aliance
http://data.europa.eu/esco/skill/8622f74f-61b7-4664-862a-7c1dea8041f0	knowledge management	cs	řízení znalostí
http://data.europa.eu/esco/skill/5da42cfd-1da8-4e4f-b68e-4f821d005fc5	virtual reality	cs	virtuální realita
http://data.europa.eu/esco/skill/61ddacb8-c89f-48c2-afe8-9e1b14c0c8fb	business incubation	cs	podnikatelské inkubátory
http://data.europa.eu/esco/skill/affb720b-98e7-4ae6-b833-b12e94fa8987	hydroponics	cs	hydroponie
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e	enterprise risk management	cs	řízení podnikových rizik
http://data.europa.eu/esco/skill/9035afc4-5317-455d-ab60-f32e2ecc6bfc	blockchain platforms	cs	platformy blockchain
http://data.europa.eu/esco/skill/53780150-1581-4ae6-b435-34068c172caf	Vyper	cs	Vyper
http://data.europa.eu/esco/skill/3c2e6f38-42c1-46ec-b782-5854b2db330d	blockchain openness	cs	otevřenost databáze blockchain
http://data.europa.eu/esco/skill/6c6daac0-80f5-431f-a33f-c5b722094657	energy storage systems	cs	systémy pro uchovávání energie
http://data.europa.eu/esco/skill/ef010091-ddce-410d-9864-9276ef6fe390	district heating and cooling	cs	dálkové vytápění a chlazení
http://data.europa.eu/esco/skill/2eb30deb-18d0-4e9d-9c53-30069ac9a108	youth work principles	cs	zásady práce s mládeží
http://data.europa.eu/esco/skill/203083ca-b051-4c28-8986-fc8731bacee5	sustainable finance	cs	udržitelné financování
http://data.europa.eu/esco/skill/c513cf4e-83bb-4edc-9ac8-2a7df04a9451	results-based management	cs	řízení podle výsledků
http://data.europa.eu/esco/skill/701f0a7d-1be9-4e98-b985-2652b2bf327a	risk financing techniques	cs	techniky rizikového financování
http://data.europa.eu/esco/skill/82fea746-853f-4f1b-8ab7-55de8619cccd	lean manufacturing	cs	štíhlá výroba
http://data.europa.eu/esco/skill/9be02d2d-9d45-400b-aa05-1e9aee7bd815	mini wind power generation	cs	výroba elektřiny z větrné energie v malém rozsahu
http://data.europa.eu/esco/skill/4300b453-9bcf-474c-9ee3-92ec2229720c	global standards for sustainability reporting	cs	celosvětové standardy pro podávání zpráv o udržitelnosti
http://data.europa.eu/esco/skill/7af76a2b-6bba-4350-9bfa-980e50c98481	SMED	cs	SMED
http://data.europa.eu/esco/skill/ccb2e5f2-4279-48fd-9d85-a1db42ff1e13	project configuration management	cs	řízení konfigurace projektu
http://data.europa.eu/esco/skill/5fd29c67-c905-4e34-98ff-f90ce6446b35	European vehicle type-approval legislation	cs	Evropské předpisy pro schválení typu vozidla
http://data.europa.eu/esco/skill/59429f7f-8b95-4094-b1cf-97cbb556f03d	participatory decision-making	cs	participativní rozhodování
http://data.europa.eu/esco/skill/2d73b2d4-2dfd-42e9-a9f4-106d9c58a4b9	integrated food-energy systems	cs	integrované potravinové a energetické systémy
http://data.europa.eu/esco/skill/8efa6a7a-6556-4cb8-908d-59d3b5c58d2f	cloud monitoring and reporting	cs	monitorování cloudového prostředí a podávání zpráv
http://data.europa.eu/esco/skill/c4b03a17-a93e-4a8e-9846-4c4d469d4001	agroecology	cs	agroekologie
http://data.europa.eu/esco/skill/41de7eb8-be07-4822-ba85-b76e9b8d6e4e	sustainable forest management	cs	udržitelné hospodaření v lesích
http://data.europa.eu/esco/skill/90d04cf8-dcc1-45cf-93e1-a2eba80aed6f	hybrid vehicle architecture	cs	architektura hybridních vozidel
http://data.europa.eu/esco/skill/243ffeb4-3395-4e39-9cf0-695be5b142aa	maritime law	cs	mořské právo
http://data.europa.eu/esco/skill/6c2182f9-9068-42e8-8855-31252d62fbb0	ecotourism	cs	ekoturistika
http://data.europa.eu/esco/skill/8be4540d-db79-4213-8820-bda0d3fb74a7	aeroponics	cs	aeroponie
http://data.europa.eu/esco/skill/ca326dd0-324f-43fe-81c5-4b40ddb35223	indicators used in EU funds programme operations	cs	ukazatele používané při činnostech programů financování z EU
http://data.europa.eu/esco/skill/9c652a9b-a773-4afa-becf-1186f9861fb9	philanthropy	cs	filantropie
http://data.europa.eu/esco/skill/7d70ed20-1c29-4ce3-bda5-9ba6c957a2d2	types of wave energy converters	cs	druhy konvertorů energie vln
http://data.europa.eu/esco/skill/b4548845-dc4c-43fb-a55c-b9b7c6c1defd	document sharing procedures	cs	postupy sdílení dokumentů
http://data.europa.eu/esco/skill/22c45bf7-e52b-475f-847b-c32a87f65a5d	circular economy	cs	oběhové hospodářství
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	carsharing	cs	car-sharing (sdílení automobilů)
http://data.europa.eu/esco/skill/609d6bb4-db16-4578-87fc-57b11a701cc2	bioeconomy	cs	biohospodářství
http://data.europa.eu/esco/skill/9b862976-aa05-4bde-8ed6-8f39790edd0f	 procurement legislation	cs	právní předpisy v oblasti zadávání veřejných zakázek
http://data.europa.eu/esco/skill/30dce29d-0518-4f5d-aeb0-2b5b49e3afbe	aquaponics	cs	akvaponie
http://data.europa.eu/esco/skill/60efd7d3-eee4-4f7d-9373-66a54d13b3e0	neuromarketing techniques	cs	neuromarketing
http://data.europa.eu/esco/skill/abdc7ac8-151f-40c6-bc1a-1e9b4b073290	augmented reality	cs	rozšířená realita
http://data.europa.eu/esco/skill/f7e051fc-8f7b-45b3-8911-8ffb9b951f4a	blockchain consensus mechanisms	cs	blockchainový mechanismus shody
http://data.europa.eu/esco/skill/83934f53-5ffa-478f-9f8f-b779e9b4fc7a	self-service technologies in tourism	cs	samoobslužné technologie v oblasti cestovního ruchu
http://data.europa.eu/esco/skill/773e217c-8b21-4d8c-b384-68752a2243a9	quantitative risk analysis techniques	cs	techniky kvantitativní analýzy rizik
http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378	data analytics	cs	analýza údajů
http://data.europa.eu/esco/skill/4c2c72df-3f3f-48e7-9993-a602354a75e4	six sigma methods 	cs	metoda Six Sigma
http://data.europa.eu/esco/skill/88c7c736-8f5f-4f39-a0ad-83e0b91cebe1	international development	cs	mezinárodní vývoj
http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43	machine learning	cs	strojové učení
http://data.europa.eu/esco/skill/9b04cd15-b9c4-442d-9bbb-32e1b2058dca	offshore constructions and facilities	cs	stavby a zařízení na moři
http://data.europa.eu/esco/skill/1b94ad6c-c54d-4bdd-858d-81ebef51c5a4	sustainable footwear materials and components	cs	udržitelné obuvnické materiály a komponenty
http://data.europa.eu/esco/skill/589f0d24-0846-4971-bc6c-a42bb274f69a	airtight construction	cs	vzduchotěsná výstavba
http://data.europa.eu/esco/skill/5100aeb3-948d-4163-91ad-703a4116bdba	commission evaluation 	cs	hodnocení ze strany komise
http://data.europa.eu/esco/skill/436b8f31-1a12-408a-be5f-a951942fbf92	simulation-based clinical education 	cs	klinické vzdělávání založené na simulaci
http://data.europa.eu/esco/skill/2e5d8410-00fd-4c3e-87fa-7c72c0d235ba	marine biology 	cs	mořská biologie
http://data.europa.eu/esco/skill/1c2978b8-bb0d-4249-9c23-877571a4dffa	cloud security and compliance	cs	dodržování souladu a bezpečnosti v cloudovém prostředí
http://data.europa.eu/esco/skill/e2b05bcb-b60e-45b5-baa6-3a67ebe77538	advanced driver assistant systems	cs	pokročilé asistenční systémy pro řidiče
http://data.europa.eu/esco/skill/d5bcc417-a004-4165-b7f1-ab739eadd2f4	smart city features	cs	prvky chytrého města
